날짜,서울,부산,대구,인천,광주,대전,울산,경기,강원,충북,충남,전북,전남,경북,경남,제주,세종
2023-11-30,7,11,9,9,10,8,9,7,8,10,8,8,7,11,8,10,8
2023-11-29,9,18,19,11,16,15,15,10,9,16,14,16,13,18,16,13,16
2023-11-28,18,18,17,17,18,16,16,17,16,20,16,16,15,19,16,23,17
2023-11-27,25,17,22,27,22,15,15,27,18,22,23,19,17,22,17,23,21
2023-11-26,15,15,16,20,15,15,12,20,14,21,20,20,12,17,13,9,21
2023-11-25,9,10,9,12,8,9,8,11,10,12,10,9,7,11,7,8,10
2023-11-24,8,11,8,9,8,7,10,7,8,9,7,7,6,10,7,9,6
2023-11-23,48,27,27,54,35,28,23,49,32,34,41,37,28,28,26,29,29
2023-11-22,27,17,27,31,18,18,18,32,22,26,23,21,11,23,16,10,25
2023-11-21,22,20,24,26,17,17,21,25,16,23,21,20,13,22,18,11,22
2023-11-20,18,22,16,18,17,15,20,19,18,20,15,17,17,22,19,17,16
2023-11-19,24,13,14,25,16,18,11,25,22,21,21,17,13,18,13,13,19
2023-11-18,13,10,11,14,10,10,8,12,12,12,10,10,9,13,8,10,10
2023-11-17,9,12,13,9,10,7,11,9,10,11,7,8,7,14,7,10,8
2023-11-16,34,25,42,36,24,34,21,39,30,41,34,26,18,38,22,13,43
2023-11-15,29,20,25,35,21,28,19,33,20,34,33,25,16,25,17,13,35
2023-11-14,15,13,13,17,12,13,11,17,12,18,17,14,9,15,11,9,17
2023-11-13,13,10,11,13,9,12,10,13,12,15,12,11,7,13,8,8,13
2023-11-12,11,9,11,11,8,12,10,11,11,14,12,11,7,13,8,8,14
2023-11-11,10,11,11,11,9,13,10,10,9,13,11,12,7,13,8,8,13
2023-11-10,9,12,12,9,10,9,14,9,10,14,9,11,9,16,10,8,9
2023-11-09,16,13,23,22,16,16,15,20,12,17,20,19,14,20,14,9,19
2023-11-08,11,10,16,17,12,10,10,14,9,14,15,13,11,14,11,11,14
2023-11-07,7,11,8,8,11,7,10,7,7,9,8,10,10,10,9,12,7
2023-11-06,7,10,6,9,9,7,11,7,7,9,8,10,8,11,8,11,7
2023-11-05,9,19,18,11,16,12,24,10,7,13,15,18,16,18,21,8,11
2023-11-04,18,18,19,23,16,15,19,20,12,21,29,21,15,21,19,7,20
2023-11-03,15,15,19,15,15,17,18,17,15,18,16,16,13,22,15,9,14
2023-11-02,19,17,31,18,14,15,26,18,23,20,14,16,12,29,16,10,13
2023-11-01,25,21,29,26,20,22,25,28,28,27,20,22,16,26,20,9,18
